,count
女性,308
家暴,301
选票,248
投票,183
女儿,165
结尾,128
明天,116
私奔,111
叙事,90
出走,89
男人,78
情书,78
丈夫,74
女性主义,72
投票权,66
口红,63
意大利,60
婚纱,58
结局,58
女权,57
咖啡馆,56
莉娅,55
铺垫,54
暴力,54
片子,51
权利,48
逃离,47
母亲,47
观众,47
家庭,41
