,count
女性,293
出走,215
咏梅,133
李红,133
女儿,130
家庭,110
姜武,104
阿姨,94
苏敏,93
母亲,79
男性,78
妈妈,76
女人,70
决心,70
真实,65
困境,62
男人,62
丈夫,56
生活,53
女性主义,47
叙事,46
刻意,46
人物,46
孙大勇,44
片子,43
镜头,42
困住,41
性别,41
原型,40
人生,38
