,count
妈妈,147
李焕英,145
小品,130
母亲,115
煽情,88
穿越,86
女儿,66
真诚,64
喜剧,63
笑点,48
反转,46
沈腾,42
情感,41
贾晓玲,40
张小斐,40
票房,37
真挚,33
女性,33
感动,33
泪点,30
搞笑,29
春节,29
电影院,29
感人,29
你好,28
我妈,28
母爱,28
亲情,28
幸福,25
共情,25
