word,count,weight,proportion
贾玲,2544,1.0,1.0
李焕英,1744,0.6857142857142857,0.6855345911949685
妈妈,1744,0.6857142857142857,0.6855345911949685
母亲,1508,0.5928571428571429,0.5927672955974843
女儿,1144,0.45,0.449685534591195
穿越,926,0.36428571428571427,0.3639937106918239
小品,708,0.2785714285714286,0.2783018867924528
贾晓玲,636,0.25,0.25
观众,617,0.24285714285714285,0.2425314465408805
母爱,508,0.2,0.19968553459119498
喜剧,436,0.17142857142857143,0.17138364779874213
你好,417,0.16428571428571428,0.16391509433962265
煽情,363,0.14285714285714285,0.14268867924528303
我妈,345,0.1357142857142857,0.13561320754716982
母女,327,0.12857142857142856,0.12853773584905662
张小斐,308,0.12142857142857143,0.12106918238993711
笑点,290,0.11428571428571428,0.1139937106918239
幸福,290,0.11428571428571428,0.1139937106918239
沈腾,272,0.10714285714285714,0.1069182389937107
快乐,272,0.10714285714285714,0.1069182389937107
感动,272,0.10714285714285714,0.1069182389937107
搞笑,254,0.1,0.09984276729559749
女性,236,0.09285714285714286,0.09276729559748427
夏洛特,236,0.09285714285714286,0.09276729559748427
父母,236,0.09285714285714286,0.09276729559748427
泪点,218,0.08571428571428572,0.08569182389937106
伟大,218,0.08571428571428572,0.08569182389937106
晓玲,218,0.08571428571428572,0.08569182389937106
真诚,218,0.08571428571428572,0.08569182389937106
片子,218,0.08571428571428572,0.08569182389937106
孩子,218,0.08571428571428572,0.08569182389937106
知道,218,0.08571428571428572,0.08569182389937106
开心,218,0.08571428571428572,0.08569182389937106
选择,199,0.07857142857142857,0.07822327044025157
共情,199,0.07857142857142857,0.07822327044025157
情感,199,0.07857142857142857,0.07822327044025157
人生,199,0.07857142857142857,0.07822327044025157
电影院,181,0.07142857142857142,0.07114779874213836
亲情,181,0.07142857142857142,0.07114779874213836
唐探,181,0.07142857142857142,0.07114779874213836
沈光林,181,0.07142857142857142,0.07114779874213836
春节,163,0.06428571428571428,0.06407232704402516
弥留之际,163,0.06428571428571428,0.06407232704402516
反转,163,0.06428571428571428,0.06407232704402516
剧情,163,0.06428571428571428,0.06407232704402516
全片,163,0.06428571428571428,0.06407232704402516
遗憾,145,0.05714285714285714,0.05699685534591195
出息,145,0.05714285714285714,0.05699685534591195
结尾,145,0.05714285714285714,0.05699685534591195
票房,145,0.05714285714285714,0.05699685534591195
王琴,145,0.05714285714285714,0.05699685534591195
母女情,145,0.05714285714285714,0.05699685534591195
演员,145,0.05714285714285714,0.05699685534591195
冷特,127,0.05,0.049921383647798745
一场,127,0.05,0.049921383647798745
作品,127,0.05,0.049921383647798745
年轻,127,0.05,0.049921383647798745
中年妇女,127,0.05,0.049921383647798745
叙事,127,0.05,0.049921383647798745
花季少女,127,0.05,0.049921383647798745
更好,127,0.05,0.049921383647798745
儿子,127,0.05,0.049921383647798745
看到,127,0.05,0.049921383647798745
视角,127,0.05,0.049921383647798745
应该,109,0.04285714285714286,0.04284591194968553
共鸣,109,0.04285714285714286,0.04284591194968553
感情,109,0.04285714285714286,0.04284591194968553
我宝,109,0.04285714285714286,0.04284591194968553
希望,109,0.04285714285714286,0.04284591194968553
不会,109,0.04285714285714286,0.04284591194968553
英子,109,0.04285714285714286,0.04284591194968553
父亲,109,0.04285714285714286,0.04284591194968553
厂长,109,0.04285714285714286,0.04284591194968553
牺牲,90,0.03571428571428571,0.03537735849056604
回去,90,0.03571428571428571,0.03537735849056604
原来,90,0.03571428571428571,0.03537735849056604
个人,90,0.03571428571428571,0.03537735849056604
贾导,90,0.03571428571428571,0.03537735849056604
一边,90,0.03571428571428571,0.03537735849056604
健康,90,0.03571428571428571,0.03537735849056604
陈赫,90,0.03571428571428571,0.03537735849056604
打动,90,0.03571428571428571,0.03537735849056604
桥段,90,0.03571428571428571,0.03537735849056604
温情,90,0.03571428571428571,0.03537735849056604
想起,90,0.03571428571428571,0.03537735849056604
回忆,90,0.03571428571428571,0.03537735849056604
感人,90,0.03571428571428571,0.03537735849056604
一次,90,0.03571428571428571,0.03537735849056604
理解,90,0.03571428571428571,0.03537735849056604
回到,90,0.03571428571428571,0.03537735849056604
喜剧电影,90,0.03571428571428571,0.03537735849056604
春晚,90,0.03571428571428571,0.03537735849056604
亲子关系,90,0.03571428571428571,0.03537735849056604
价值观,90,0.03571428571428571,0.03537735849056604
高兴,90,0.03571428571428571,0.03537735849056604
过去,90,0.03571428571428571,0.03537735849056604
李焕,90,0.03571428571428571,0.03537735849056604
自责,90,0.03571428571428571,0.03537735849056604
情绪,90,0.03571428571428571,0.03537735849056604
电视机,90,0.03571428571428571,0.03537735849056604
真实,90,0.03571428571428571,0.03537735849056604
期待,90,0.03571428571428571,0.03537735849056604
稀里哗啦,72,0.02857142857142857,0.02830188679245283
儿女,72,0.02857142857142857,0.02830188679245283
记忆,72,0.02857142857142857,0.02830188679245283
骄傲,72,0.02857142857142857,0.02830188679245283
这种,72,0.02857142857142857,0.02830188679245283
成为,72,0.02857142857142857,0.02830188679245283
值得,72,0.02857142857142857,0.02830188679245283
创造,72,0.02857142857142857,0.02830188679245283
完成度,72,0.02857142857142857,0.02830188679245283
字幕,72,0.02857142857142857,0.02830188679245283
女排,72,0.02857142857142857,0.02830188679245283
一段,72,0.02857142857142857,0.02830188679245283
哈哈哈哈,72,0.02857142857142857,0.02830188679245283
整部,72,0.02857142857142857,0.02830188679245283
好看,72,0.02857142857142857,0.02830188679245283
长脸,72,0.02857142857142857,0.02830188679245283
真正,72,0.02857142857142857,0.02830188679245283
屎尿,72,0.02857142857142857,0.02830188679245283
朋友,72,0.02857142857142857,0.02830188679245283
片尾,72,0.02857142857142857,0.02830188679245283
平凡,72,0.02857142857142857,0.02830188679245283
三观,72,0.02857142857142857,0.02830188679245283
红包,72,0.02857142857142857,0.02830188679245283
这片,72,0.02857142857142857,0.02830188679245283
笑料,72,0.02857142857142857,0.02830188679245283
观影,72,0.02857142857142857,0.02830188679245283
剧本,72,0.02857142857142857,0.02830188679245283
撮合,72,0.02857142857142857,0.02830188679245283
外婆,72,0.02857142857142857,0.02830188679245283
演技,72,0.02857142857142857,0.02830188679245283
眼泪,72,0.02857142857142857,0.02830188679245283
爸爸,72,0.02857142857142857,0.02830188679245283
真挚,72,0.02857142857142857,0.02830188679245283
表达,72,0.02857142857142857,0.02830188679245283
我爸,72,0.02857142857142857,0.02830188679245283
bug,72,0.02857142857142857,0.02830188679245283
男性,72,0.02857142857142857,0.02830188679245283
评分,72,0.02857142857142857,0.02830188679245283
愧疚,72,0.02857142857142857,0.02830188679245283
加长版,72,0.02857142857142857,0.02830188679245283
一星,72,0.02857142857142857,0.02830188679245283
无私,72,0.02857142857142857,0.02830188679245283
假证,72,0.02857142857142857,0.02830188679245283
低分,72,0.02857142857142857,0.02830188679245283
不好,72,0.02857142857142857,0.02830188679245283
编剧,72,0.02857142857142857,0.02830188679245283
贾小玲,72,0.02857142857142857,0.02830188679245283
子女,72,0.02857142857142857,0.02830188679245283
自我,72,0.02857142857142857,0.02830188679245283
表演,72,0.02857142857142857,0.02830188679245283
不能,54,0.02142857142857143,0.02122641509433962
纪念,54,0.02142857142857143,0.02122641509433962
依然,54,0.02142857142857143,0.02122641509433962
镜头,54,0.02142857142857143,0.02122641509433962
选角,54,0.02142857142857143,0.02122641509433962
以后,54,0.02142857142857143,0.02122641509433962
烂片,54,0.02142857142857143,0.02122641509433962
阿姨,54,0.02142857142857143,0.02122641509433962
永远,54,0.02142857142857143,0.02122641509433962
催泪,54,0.02142857142857143,0.02122641509433962
后半段,54,0.02142857142857143,0.02122641509433962
八十年代,54,0.02142857142857143,0.02122641509433962
梦境,54,0.02142857142857143,0.02122641509433962
抚平,54,0.02142857142857143,0.02122641509433962
哈哈哈,54,0.02142857142857143,0.02122641509433962
下辈子,54,0.02142857142857143,0.02122641509433962
创作者,54,0.02142857142857143,0.02122641509433962
那句,54,0.02142857142857143,0.02122641509433962
愿意,54,0.02142857142857143,0.02122641509433962
现在,54,0.02142857142857143,0.02122641509433962
我能,54,0.02142857142857143,0.02122641509433962
妈生,54,0.02142857142857143,0.02122641509433962
大年初一,54,0.02142857142857143,0.02122641509433962
结婚证,54,0.02142857142857143,0.02122641509433962
这辈子,54,0.02142857142857143,0.02122641509433962
天下父母,54,0.02142857142857143,0.02122641509433962
真情实感,54,0.02142857142857143,0.02122641509433962
样子,54,0.02142857142857143,0.02122641509433962
一秒,54,0.02142857142857143,0.02122641509433962
陪伴,54,0.02142857142857143,0.02122641509433962
命运,54,0.02142857142857143,0.02122641509433962
前半段,54,0.02142857142857143,0.02122641509433962
会过,54,0.02142857142857143,0.02122641509433962
段子,54,0.02142857142857143,0.02122641509433962
泪目,54,0.02142857142857143,0.02122641509433962
当妈,54,0.02142857142857143,0.02122641509433962
回到未来,54,0.02142857142857143,0.02122641509433962
痛点,54,0.02142857142857143,0.02122641509433962
非得,54,0.02142857142857143,0.02122641509433962
绑架,54,0.02142857142857143,0.02122641509433962
疼爱,54,0.02142857142857143,0.02122641509433962
片中,54,0.02142857142857143,0.02122641509433962
改变,54,0.02142857142857143,0.02122641509433962
发现,54,0.02142857142857143,0.02122641509433962
电影票,54,0.02142857142857143,0.02122641509433962
裤子,54,0.02142857142857143,0.02122641509433962
UCLA,54,0.02142857142857143,0.02122641509433962
反思,54,0.02142857142857143,0.02122641509433962
有时候,54,0.02142857142857143,0.02122641509433962
失望,54,0.02142857142857143,0.02122641509433962
好好,54,0.02142857142857143,0.02122641509433962
二刷,54,0.02142857142857143,0.02122641509433962
亏欠,54,0.02142857142857143,0.02122641509433962
弥补,54,0.02142857142857143,0.02122641509433962
影评,54,0.02142857142857143,0.02122641509433962
不行,54,0.02142857142857143,0.02122641509433962
母职,54,0.02142857142857143,0.02122641509433962
意外,54,0.02142857142857143,0.02122641509433962
无条件,54,0.02142857142857143,0.02122641509433962
焕英,54,0.02142857142857143,0.02122641509433962
育儿,54,0.02142857142857143,0.02122641509433962
套路,54,0.02142857142857143,0.02122641509433962
结婚,54,0.02142857142857143,0.02122641509433962
女性主义,54,0.02142857142857143,0.02122641509433962
刻意,54,0.02142857142857143,0.02122641509433962
出生,54,0.02142857142857143,0.02122641509433962
出戏,54,0.02142857142857143,0.02122641509433962
舞台剧,54,0.02142857142857143,0.02122641509433962
贾文田,54,0.02142857142857143,0.02122641509433962
方式,54,0.02142857142857143,0.02122641509433962
王牌,54,0.02142857142857143,0.02122641509433962
之前,54,0.02142857142857143,0.02122641509433962
女人,54,0.02142857142857143,0.02122641509433962
艺术,54,0.02142857142857143,0.02122641509433962
生活,54,0.02142857142857143,0.02122641509433962
隔壁,36,0.014285714285714285,0.014150943396226415
回家,36,0.014285714285714285,0.014150943396226415
活着,36,0.014285714285714285,0.014150943396226415
逝去,36,0.014285714285714285,0.014150943396226415
爸妈,36,0.014285714285714285,0.014150943396226415
安利,36,0.014285714285714285,0.014150943396226415
滤镜,36,0.014285714285714285,0.014150943396226415
今年春节,36,0.014285714285714285,0.014150943396226415
泪崩,36,0.014285714285714285,0.014150943396226415
棉袄,36,0.014285714285714285,0.014150943396226415
未来,36,0.014285714285714285,0.014150943396226415
退票,36,0.014285714285714285,0.014150943396226415
刻画,36,0.014285714285714285,0.014150943396226415
接受,36,0.014285714285714285,0.014150943396226415
小狗,36,0.014285714285714285,0.014150943396226415
堪比,36,0.014285714285714285,0.014150943396226415
太好了,36,0.014285714285714285,0.014150943396226415
真情,36,0.014285714285714285,0.014150943396226415
想着,36,0.014285714285714285,0.014150943396226415
散步,36,0.014285714285714285,0.014150943396226415
阻止,36,0.014285714285714285,0.014150943396226415
安慰,36,0.014285714285714285,0.014150943396226415
就行了,36,0.014285714285714285,0.014150943396226415
