,count
青春,222
青春片,165
香港,132
佩佩,125
春天,119
少女,116
阿豪,110
手机,78
镜头,76
处女作,72
闺蜜,69
走私,68
水客,67
配乐,64
暧昧,63
青春期,62
鲨鱼,59
结尾,54
剧情,53
人物,48
片子,44
女孩,41
定格,41
深圳,41
胶带,41
有点,39
深港,38
花姐,38
完成度,38
那场,38
