,count
郝蕾,384
独白,248
母亲,182
春潮,151
金燕玲,132
家庭,126
母女,125
女儿,108
关系,104
女性,84
台词,73
隐喻,65
郭建波,62
表达,61
姥姥,59
结尾,55
妈妈,48
刻意,47
人物,46
表演,45
有点,44
三代人,42
潮水,41
片子,41
原生,40
演员,39
小女孩,39
叙事,36
演技,36
文艺,36
