word,count,weight,proportion
母女,2377,1.0,1.0
妈妈,2254,0.9485294117647058,0.9482541018090029
女儿,1957,0.8235294117647058,0.8233066891039125
文淇,1240,0.5220588235294118,0.5216659655027346
照顾,1205,0.5073529411764706,0.5069415229280606
阿尔兹 海默症,908,0.38235294117647056,0.38199411022297014
母亲,873,0.36764705882352944,0.36726966764829616
父亲,769,0.3235294117647059,0.3235170382835507
阿尔茨海默,751,0.3161764705882353,0.31594446781657554
台词,751,0.3161764705882353,0.31594446781657554
女性,734,0.3088235294117647,0.30879259570887674
春潮,699,0.29411764705882354,0.29406815313420276
阿兹海默症,681,0.2867647058823529,0.2864955826672276
母爱,646,0.27205882352941174,0.27177114009255365
周夏,524,0.22058823529411764,0.22044594026083297
奚美娟,506,0.21323529411764705,0.2128733697938578
高知,506,0.21323529411764705,0.2128733697938578
剧情,489,0.20588235294117646,0.20572149768615902
吴彦,471,0.19852941176470587,0.19814892721918384
煽情,471,0.19852941176470587,0.19814892721918384
表演,454,0.19117647058823528,0.19099705511148507
妈妈 女儿,419,0.17647058823529413,0.17627261253681112
杨荔,401,0.16911764705882354,0.16870004206983594
生活,401,0.16911764705882354,0.16870004206983594
关系,401,0.16911764705882354,0.16870004206983594
老年,401,0.16911764705882354,0.16870004206983594
冯济,384,0.16176470588235295,0.16154816996213714
吴彦 奚美娟,384,0.16176470588235295,0.16154816996213714
片子,367,0.15441176470588236,0.15439629785443837
文琪,367,0.15441176470588236,0.15439629785443837
阿兹海默,349,0.14705882352941177,0.1468237273874632
演技,349,0.14705882352941177,0.1468237273874632
女儿 母亲,349,0.14705882352941177,0.1468237273874632
老戏骨,297,0.125,0.12494741270509045
春歌,297,0.125,0.12494741270509045
片尾,297,0.125,0.12494741270509045
镜头,297,0.125,0.12494741270509045
老师,279,0.11764705882352941,0.11737484223811527
视角,262,0.11029411764705882,0.11022297013041649
表达,262,0.11029411764705882,0.11022297013041649
知识分子,262,0.11029411764705882,0.11022297013041649
结尾,244,0.10294117647058823,0.10265039966344132
患病,244,0.10294117647058823,0.10265039966344132
母狼,244,0.10294117647058823,0.10265039966344132
全片,244,0.10294117647058823,0.10265039966344132
养老院,244,0.10294117647058823,0.10265039966344132
爸爸,227,0.09558823529411764,0.09549852755574254
设定,227,0.09558823529411764,0.09549852755574254
叙事,227,0.09558823529411764,0.09549852755574254
共情,227,0.09558823529411764,0.09549852755574254
两位,227,0.09558823529411764,0.09549852755574254
刻意,227,0.09558823529411764,0.09549852755574254
