,count
妈妈,241
文淇,177
女儿,167
台词,156
母女,136
海默症,109
阿尔兹,106
奚美娟,102
吴彦,96
两位,93
照顾,86
演技,86
母亲,85
表演,84
煽情,78
剧情,73
阿尔茨海默,71
女性,69
题材,69
父亲,68
演员,68
老师,65
春潮,61
片子,61
文琪,60
阿兹海默症,57
高知,53
生活,51
突兀,51
杨荔,46
