word,count,weight,proportion
母女,1325,1.0,1.0
瀑布,961,0.725925925925926,0.7252830188679246
贾静雯,922,0.6962962962962963,0.6958490566037736
女儿,853,0.6444444444444445,0.6437735849056604
疫情,804,0.6074074074074074,0.6067924528301887
母亲,637,0.48148148148148145,0.4807547169811321
阳光普照,569,0.42962962962962964,0.4294339622641509
钟孟宏,500,0.37777777777777777,0.37735849056603776
生活,392,0.2962962962962963,0.2958490566037736
蓝色,284,0.21481481481481482,0.21433962264150944
妈妈,265,0.2,0.2
结尾,255,0.1925925925925926,0.19245283018867926
思觉,255,0.1925925925925926,0.19245283018867926
关系,235,0.17777777777777778,0.17735849056603772
王净,225,0.17037037037037037,0.16981132075471697
家庭,206,0.15555555555555556,0.15547169811320755
小静,206,0.15555555555555556,0.15547169811320755
口罩,186,0.14074074074074075,0.14037735849056604
演技,166,0.1259259259259259,0.12528301886792453
罗品,166,0.1259259259259259,0.12528301886792453
女性,157,0.11851851851851852,0.11849056603773585
惊悚,157,0.11851851851851852,0.11849056603773585
前半段,137,0.1037037037037037,0.10339622641509434
配乐,127,0.0962962962962963,0.09584905660377359
隔离,127,0.0962962962962963,0.09584905660377359
照顾,127,0.0962962962962963,0.09584905660377359
品文,127,0.0962962962962963,0.09584905660377359
压抑,117,0.08888888888888889,0.08830188679245284
片子,117,0.08888888888888889,0.08830188679245284
陈以文,117,0.08888888888888889,0.08830188679245284
有点,117,0.08888888888888889,0.08830188679245284
中产,117,0.08888888888888889,0.08830188679245284
剧情,117,0.08888888888888889,0.08830188679245284
前夫,117,0.08888888888888889,0.08830188679245284
隐喻,107,0.08148148148148149,0.08075471698113207
生病,107,0.08148148148148149,0.08075471698113207
视角,107,0.08148148148148149,0.08075471698113207
妈妈 女儿,107,0.08148148148148149,0.08075471698113207
魏如,98,0.07407407407407407,0.0739622641509434
泄洪,98,0.07407407407407407,0.0739622641509434
母女间,98,0.07407407407407407,0.0739622641509434
新冠,98,0.07407407407407407,0.0739622641509434
防水布,98,0.07407407407407407,0.0739622641509434
母女俩,98,0.07407407407407407,0.0739622641509434
幻听,98,0.07407407407407407,0.0739622641509434
片中,88,0.06666666666666667,0.06641509433962264
失调,88,0.06666666666666667,0.06641509433962264
洪水,88,0.06666666666666667,0.06641509433962264
表演,88,0.06666666666666667,0.06641509433962264
意象,88,0.06666666666666667,0.06641509433962264
离婚,88,0.06666666666666667,0.06641509433962264
声音,88,0.06666666666666667,0.06641509433962264
情感,88,0.06666666666666667,0.06641509433962264
结局,78,0.05925925925925926,0.05886792452830188
精神,78,0.05925925925925926,0.05886792452830188
后半段,78,0.05925925925925926,0.05886792452830188
悬疑,78,0.05925925925925926,0.05886792452830188
救赎,78,0.05925925925925926,0.05886792452830188
孟宏,68,0.05185185185185185,0.05132075471698113
叛逆,68,0.05185185185185185,0.05132075471698113
台词,68,0.05185185185185185,0.05132075471698113
细腻,68,0.05185185185185185,0.05132075471698113
情节,68,0.05185185185185185,0.05132075471698113
单亲,68,0.05185185185185185,0.05132075471698113
理解,68,0.05185185185185185,0.05132075471698113
惊悚片,68,0.05185185185185185,0.05132075471698113
疏离,68,0.05185185185185185,0.05132075471698113
幕布,68,0.05185185185185185,0.05132075471698113
真实,68,0.05185185185185185,0.05132075471698113
前半部,68,0.05185185185185185,0.05132075471698113
崩溃,68,0.05185185185185185,0.05132075471698113
演员,68,0.05185185185185185,0.05132075471698113
二人,68,0.05185185185185185,0.05132075471698113
背景,68,0.05185185185185185,0.05132075471698113
整部,68,0.05185185185185185,0.05132075471698113
don sweat,68,0.05185185185185185,0.05132075471698113
心理疾病,58,0.044444444444444446,0.04377358490566038
点题,58,0.044444444444444446,0.04377358490566038
温柔,58,0.044444444444444446,0.04377358490566038
我要,58,0.044444444444444446,0.04377358490566038
爸爸,58,0.044444444444444446,0.04377358490566038
匠气,58,0.044444444444444446,0.04377358490566038
阿姨,58,0.044444444444444446,0.04377358490566038
高管,58,0.044444444444444446,0.04377358490566038
精神疾病,58,0.044444444444444446,0.04377358490566038
隔阂,58,0.044444444444444446,0.04377358490566038
大楼,58,0.044444444444444446,0.04377358490566038
互相,58,0.044444444444444446,0.04377358490566038
生硬,58,0.044444444444444446,0.04377358490566038
做作,58,0.044444444444444446,0.04377358490566038
社会,58,0.044444444444444446,0.04377358490566038
共情,58,0.044444444444444446,0.04377358490566038
时代,58,0.044444444444444446,0.04377358490566038
疾病,58,0.044444444444444446,0.04377358490566038
Fall,58,0.044444444444444446,0.04377358490566038
困境,58,0.044444444444444446,0.04377358490566038
镜头,58,0.044444444444444446,0.04377358490566038
强行,58,0.044444444444444446,0.04377358490566038
冲突,58,0.044444444444444446,0.04377358490566038
人生,58,0.044444444444444446,0.04377358490566038
观众,58,0.044444444444444446,0.04377358490566038
华语,49,0.037037037037037035,0.0369811320754717
全片,49,0.037037037037037035,0.0369811320754717
饰演,49,0.037037037037037035,0.0369811320754717
亲情,49,0.037037037037037035,0.0369811320754717
抓蛇,49,0.037037037037037035,0.0369811320754717
和解,49,0.037037037037037035,0.0369811320754717
黑泽明,49,0.037037037037037035,0.0369811320754717
变成,49,0.037037037037037035,0.0369811320754717
幻觉,49,0.037037037037037035,0.0369811320754717
状态,49,0.037037037037037035,0.0369811320754717
亲子关系,49,0.037037037037037035,0.0369811320754717
压力,49,0.037037037037037035,0.0369811320754717
苦难,49,0.037037037037037035,0.0369811320754717
病友,49,0.037037037037037035,0.0369811320754717
情绪,49,0.037037037037037035,0.0369811320754717
钟导,49,0.037037037037037035,0.0369811320754717
