,count
夫人,142
惠英红,138
棠宁,137
观音,120
女儿,94
演技,91
文淇,84
大佛,82
吴可熙,74
剧情,69
表演,63
女人,61
台湾,59
奇情,56
好看,52
演员,51
人性,50
普拉斯,49
翩翩,49
有点,45
母亲,42
话题,42
故弄玄虚,41
女性,39
片子,38
叙事,36
这种,33
Marco,33
母女,33
精彩,31
