,count
女性,268
女权,140
女性主义,121
台词,110
东西,110
小孩,109
邵艺辉,104
金句,100
神话,92
铁梅,91
男性,91
脱口秀,89
爱情,88
小叶,75
刻意,73
宋佳,73
表达,72
声音,72
妈妈,57
茉莉,57
单亲,56
王铁梅,55
叙事,54
观众,52
男人,48
段子,48
生活,44
说教,43
性别,41
9.1,41
